seq,source_file,statement_from,statement_to,date,value_date,narration,reference,direction,withdrawal,deposit,amount,closing_balance,categories,is_recurring,recurring_key
1,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-01,2024-04-01,CC 000463918XXXXXX8920 AUTOPAY SI-TAD,0000000575261949,Receipt,0.0,2.0,2.0,432719.16,Other,No,CC XXXXXX AUTOPAY SI
2,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-01,2024-04-01,CC 000463918XXXXXX9126 AUTOPAY SI-TAD,0000000575261950,Payment,4.0,0.0,4.0,432715.16,Recurring Transaction,Yes,CC XXXXXX AUTOPAY SI
3,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-02,2024-04-01,FD BKD FOR R M HASNANI AND ASSO 50300950 671168 -R M HASNANI AND ASSO,000000000000000,Payment,179315.16,0.0,179315.16,253400.0,FD Deposit/Withdrawal; High Transaction; Recurring Transaction,Yes,FD BKD FOR R M HASNANI AND ASSO
4,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-02,2024-04-02,IMPS-409311172695-SHREE SIDDHIVINAYAK CO MPUTER-SVCB-XXXXXXXXXXX0516-AMC BILL PAY MENT- INVOICE NO:-001,0000409311172695,Payment,3540.0,0.0,3540.0,249860.0,Recurring Transaction,Yes,SHREE SIDDHIVINAYAK CO MPUTER
5,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-02,2024-04-03,CHQ DEP MICR 08-MUM CLG - MICR CLG - MUM : SPACE HOMES A G :VASAI VIKAS SAHAKARI BANK LTD,0000000000100370,Receipt,0.0,21600.0,21600.0,271460.0,Recurring Transaction,Yes,CHQ DEP MICR
6,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-03,2024-04-03,UPI SETTLEMENT -WW8951- 03/04/24,000000000000000,Receipt,0.0,20000.0,20000.0,291460.0,UPI; Recurring Transaction,Yes,UPI SETTLEMENT
7,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-03,2024-04-03,UPI-IVAN LOUIS-IVANLOUIS06-1@OKHDFCBANK- HDFC0000408-409489875329-UPI,0000409489875329,Receipt,0.0,11800.0,11800.0,303260.0,UPI,No,IVAN LOUIS
8,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-04,2024-04-04,UPI SETTLEMENT -WW8951- 04/04/24,000000000000000,Receipt,0.0,2360.0,2360.0,305620.0,UPI; Recurring Transaction,Yes,UPI SETTLEMENT
9,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-05,2024-04-05,ACH D- ARKA FINCAP LTD-NP281712248277398,0000002603495901,Payment,235573.0,0.0,235573.0,70047.0,High Transaction; Recurring Transaction,Yes,ARKA FINCAP LTD
10,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-06,2024-04-06,50200057343497-TPT-TRF EDUGUIDE OVERSEA- EDUGUIDE OVERSEAS STUDIES PVT LTD,0000000428559318,Payment,200000.0,0.0,200000.0,-129953.0,High Transaction; Recurring Transaction,Yes,TRF EDUGUIDE OVERSEA
