seq,source_file,statement_from,statement_to,date,value_date,narration,reference,direction,withdrawal,deposit,amount,closing_balance,categories,is_recurring,recurring_key
1,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ IMPS/P2A/609147096215/HONEPELIMITEDPA/F09Hpcljige,,Receipt,0.0,53200.0,53200.0,416391.0,Other,No,HONEPELIMITEDPA
2,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-YESAP60912594024-PhonePe Limited,,Receipt,0.0,165179.0,165179.0,581570.0,High Transaction; Recurring Transaction,Yes,PHONEPE LIMITED
3,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,UPI/6091426275 42627513 UPI/609142627513/04:54:21/UPI/dineshjogle086-5@ok,,Payment,2356.0,0.0,2356.0,579214.0,UPI,No,DINESHJOGLE
4,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ IMPS/P2A/609149979773/ONEMOBIKWIKSYST/IMPSAXB9100,,Receipt,0.0,35167.6,35167.6,614381.6,Other,No,ONEMOBIKWIKSYST
5,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,UPI/6091243743 24374374 UPI/609124374374/11:47:28/UPI/prasadconstruction2,,Receipt,0.0,70000.0,70000.0,684381.6,UPI,No,PRASADCONSTRUCTION
6,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,EBANK:WIB/1502 EBANK:WIB/1502021829/Edfs,,Payment,681881.6,0.0,681881.6,2500.0,High Transaction; Recurring Transaction,Yes,EBANKWIB
7,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-FBPT260916108327-PREMIER CONVEYORS PRIVATE LI,,Receipt,0.0,18409.0,18409.0,20909.0,EMI; Recurring Transaction,Yes,PREMIER CONVEYORS PRIVATE LI
8,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-CNRBH00121803213-QUALITY PLAST INDUSTRIES LIM,,Receipt,0.0,121431.0,121431.0,142340.0,High Transaction; Recurring Transaction,Yes,QUALITY PLAST INDUSTRIES LIM
9,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,UPI/6091779614 77961475 UPI/609177961475/16:34:33/UPI/q297956037@ybl/food,,Payment,1500.0,0.0,1500.0,140840.0,UPI,No,UPI/# # UPI/#/#:#:#/UPI/Q#@YBL/FOOD
10,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ IMPS/P2A/609116466512/AFZALSIRAJUDDIN/IMPSUOB9191,,Receipt,0.0,100000.0,100000.0,240840.0,High Transaction; Recurring Transaction,Yes,AFZALSIRAJUDDIN
11,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-KKBKH26091970510-VENKTESHWAR INDUSTRIAL CORPO,,Receipt,0.0,10000.0,10000.0,250840.0,Recurring Transaction,Yes,VENKTESHWAR INDUSTRIAL CORPO
12,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,"EBANK:WIB/1502 ---------------------------------------------------------------------------------------------------------------------------------- Page Total: 9,34,077.60 5,73,386.60 2,500.00Cr ---------------------------------------------------------------------------------------------------------------------------------- Note: Cheques received in inward clearing will be considered for debiting/ returning on the basis opening balance in account Unless the constituent notifies the bank of any dis",,Payment,248340.0,0.0,248340.0,2500.0,High Transaction; Recurring Transaction,Yes,EBANKWIB
13,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-YESAP60924833309-PhonePe Limited,,Receipt,0.0,188588.4,188588.4,191088.4,High Transaction; Recurring Transaction,Yes,PHONEPE LIMITED
14,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-AXNPN09202196281-PHONEPE LIMITED-PAYMENT AGGR,,Receipt,0.0,50884.1,50884.1,241972.5,Recurring Transaction,Yes,PHONEPE LIMITED
15,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-AXISCN1298773772-ONE MOBIKWIK SYSTEMS LIMITED https://cbdrpt101.bankofbaroda.co.in:22000/finbranch/arjspmorph/INFENG/tran_rpt.jsp?... 04-05-2026,,Receipt,0.0,26312.0,26312.0,268284.5,Recurring Transaction,Yes,ONE MOBIKWIK SYSTEMS LIMITED HTTPS
16,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ IMPS/P2A/609208556385/OMSANITRANSPORT/IMPSUOB9195,,Receipt,0.0,16450.0,16450.0,284734.5,Recurring Transaction,Yes,OMSANITRANSPORT
17,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-AXISCN1298906804-PINE LABS PRIVATE LIMITED-NO,,Receipt,0.0,61903.0,61903.0,346637.5,Recurring Transaction,Yes,PINE LABS PRIVATE LIMITED
18,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-AXISCN1299028324-PINE LABS PRIVATE LIMITED-NO,,Receipt,0.0,166884.0,166884.0,513521.5,High Transaction; Recurring Transaction,Yes,PINE LABS PRIVATE LIMITED
19,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,UPI/6092378308 37830859 UPI/609237830859/11:20:36/UPI/9850754712-3@ybl/st,,Payment,4000.0,0.0,4000.0,509521.5,UPI,No,UPI/# # UPI/#/#:#:#/UPI/#-#@YBL/ST
20,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ IMPS/P2A/609211135154/SHREE GANESH EN/dieselVVS91,,Receipt,0.0,63308.0,63308.0,572829.5,Recurring Transaction,Yes,SHREE GANESH EN
21,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-KKBKH26092777992-VENKTESHWAR INDUSTRIAL CORPO,,Receipt,0.0,18088.0,18088.0,590917.5,Recurring Transaction,Yes,VENKTESHWAR INDUSTRIAL CORPO
22,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,UPI/6092013389 1338963 UPI/609201338963/12:38:06/UPI/gpay-11193876450@ok,,Payment,2800.0,0.0,2800.0,588117.5,UPI,No,UPI/# # UPI/#/#:#:#/UPI/GPAY-#@OK
23,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-NKGSH26092846591-GEBI PRODUCTS PRIVATE LIMITE,,Receipt,0.0,12813.0,12813.0,600930.5,Recurring Transaction,Yes,GEBI PRODUCTS PRIVATE LIMITE
24,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-IDIBH09236262399-JAI AMBE TRANSPORT,,Receipt,0.0,4378.0,4378.0,605308.5,Recurring Transaction,Yes,JAI AMBE TRANSPORT
25,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-HDFCH00905140576-Adekar enterprises pvt ltd,,Receipt,0.0,138674.0,138674.0,743982.5,High Transaction; Recurring Transaction,Yes,ADEKAR ENTERPRISES PVT LTD
26,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,DIGITA-MUMBAI/ NEFT-TDCBH26092001785-V C ENTERPRISES,,Receipt,0.0,50000.0,50000.0,793982.5,Recurring Transaction,Yes,V C ENTERPRISES
27,502 input.pdf,2026-04-01,2026-04-30,2026-04-02,2026-04-02,EBANK:WIB/1502 EBANK:WIB/1502234210/Edfs,,Payment,791482.5,0.0,791482.5,2500.0,High Transaction; Recurring Transaction,Yes,EBANKWIB
